,STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry_x,location_id,Sensor Name,sensor_latitude,sensor_longitude,sensor_geometry,Hour,Value
149,19458,-37.827198,16-Park Gr/Swan St (Burnley),145.01228,1,70,POINT (325066.0105926008 5811496.05575606),,,,,,,
150,19459,-37.826901,15-Stawell St/Swan St (Richmond),145.009607,1,70,POINT (324830.04116234987 5811524.00164122),,,,,,,
151,19460,-37.826593,14-Burnley St/Swan St (Richmond),145.006877,1,70,POINT (324589.03720386 5811553.052203378),,,,,,,
152,19461,-37.826392,13-Edinburgh St/Swan St (Richmond),145.00511,1,70,POINT (324433.0135694953 5811572.041687743),,,,,,,
153,19462,-37.826102,12-Coppin St/Swan St (Richmond),145.002345,1,70,POINT (324188.97528196237 5811599.017579213),,,,,,,
154,19463,-37.82561,11-Church St/Swan St (Richmond),144.99778,1,70,POINT (323785.99045879446 5811645.001010012),,,,,,,
155,19464,-37.82538,10-Swan Street Shopping Centre/Swan St (Richmond),144.9959,1,70,POINT (323619.9754100584 5811666.97833414),,,,,,,
156,19465,-37.825092,9-Lennox St/Swan St (Richmond),144.993284,1,70,POINT (323389.0215144932 5811693.991828587),,,,,,,
157,19466,-37.824532,8-Richmond Station/Swan St (Cremorne),144.988436,1,70,POINT (322960.98808242637 5811746.950889773),,,,,,,
158,18782,-37.842166,135-Woorigoleen Rd/Toorak Rd (Toorak),145.017583,1,58,POINT (325568.0070529809 5809845.044852777),,,,,,,
159,18783,-37.842461,136-Irving Rd/Toorak Rd (Toorak),145.020086,1,58,POINT (325788.9681371541 5809816.9820904145),,,,,,,
160,18784,-37.842844,137-Kooyong Rd/Toorak Rd (Toorak),145.023065,1,58,POINT (326052.0138204115 5809780.043190896),,,,,,,
161,18785,-37.843231,138-Moonga Rd/Toorak Rd (Toorak),145.026248,1,58,POINT (326333.027931223 5809743.026375449),,,,,,,
162,18786,-37.843615,139-Glenbervie Rd/Toorak Rd (Toorak),145.029817,1,58,POINT (326647.9911805887 5809707.046478924),,,,,,,
163,18942,-37.850052,39-Irving Rd/Malvern Rd (Toorak),145.018679,1,72,POINT (325683.04406416055 5808972.019146856),,,,,,,
164,18943,-37.850403,40-Kooyong Rd/Malvern Rd (Toorak),145.021306,1,72,POINT (325915.0095349841 5808937.973273944),,,,,,,
165,18944,-37.850763,41-Albany Rd/Malvern Rd (Toorak),145.023956,1,72,POINT (326149.0211121577 5808902.965148019),,,,,,,
166,18945,-37.851052,42-Lauriston Girls School/Malvern Rd (Toorak),145.026141,1,72,POINT (326341.9705058788 5808874.965459093),,,,,,,
167,18946,-37.851547,43-Glenferrie Rd/Malvern Rd (Toorak),145.029867,1,72,POINT (326670.9714246665 5808826.964012073),,,,,,,
168,18947,-37.851897,44-Plant St/Malvern Rd (Malvern),145.032495,1,72,POINT (326903.01974811754 5808793.002469398),,,,,,,
169,19013,-37.879934,54-Glen Eira Rd/Hawthorn Rd (Caulfield North),145.023404,1,64,POINT (326169.0353231253 5805664.941129604),,,,,,,
170,19014,-37.877212,53-Northcote Ave/Hawthorn Rd (Caulfield North),145.02392,1,64,POINT (326208.00961264456 5805967.957969766),,,,,,,
171,19015,-37.874939,52-Halstead St/Hawthorn Rd (Caulfield North),145.024356,1,64,POINT (326241.0133063659 5806220.990640603),,,,,,,
172,19016,-37.872441,51-Balaclava Rd/Hawthorn Rd (Caulfield North),145.02482,1,64,POINT (326275.960636485 5806499.052691343),,,,,,,
173,19016,-37.872441,51-Balaclava Rd/Hawthorn Rd (Caulfield North),145.02482,1,16,POINT (326275.960636485 5806499.052691343),,,,,,,
174,19017,-37.869514,50-Inkerman Rd/Hawthorn Rd (Caulfield North),145.02541,1,64,POINT (326320.98721438786 5806824.946733715),,,,,,,
175,19017,-37.869514,50-Inkerman Rd/Hawthorn Rd (Caulfield North),145.02541,1,16,POINT (326320.98721438786 5806824.946733715),,,,,,,
