location_id,name,place_id
10079921,Romulo Cafe and Restaurant,ChIJlTSFSewPdkgRat9oKHTl33Q
788097,Hare&Tortoise,ChIJNxoOfOwPdkgR4-cNXIzj1BA
6624139,Pappa Roma,ChIJobxrAmgFdkgRgcJpBakGdV8
1214896,Tapas Brindisa South Kensington,ChIJnV7FjUIFdkgRzYUGlV3cvQg
23436064,Pino,ChIJOWJBCIsPdkgR9x7taFAyvWg
3784979,Macellaio RC South Kensington,ChIJ48y_6mcFdkgRhqLHww_SqeY
2571962,Comptoir Libanais South Kensington,ChIJgV7FjUIFdkgREkiwLP2M6Bk
2179762,The Orangery,ChIJ7w-V58oNdkgRMcz9MMtot9Q
5992727,Margaux,ChIJ3fS9KGEFdkgR659vG--k58k
1044445,Min Jiang,ChIJy1y33_cPdkgRy4SK96aOVBM
10150587,Raj Of Kensington,ChIJS2d0gfEPdkgRuvKJvm38hHs
8017474,Dozo South Kensington,ChIJYRNN72cFdkgRM_8-LtHwok8
1017316,Locanda Ottoemezzo,ChIJXV6EH_YPdkgROGp5l7ekCEA
4925323,Yashin Ocean House,ChIJV6l34GYFdkgRVvFHSJPP_NI
23471336,Meekhun Thai Bistro Kensington,ChIJl1EJr44FdkgRNBDPv-wUDEA
734258,Ffiona's,ChIJFd-HVvcPdkgRUO2vB2jTZX0
2011025,Bella Italia South Kensington,ChIJoSuJ5GcFdkgR4MiPFtHmblc
14184416,Akira,ChIJbYF04XsPdkgRYuY_9zvfWp8
188474,South Kensington,ChIJ1YES5cQFdkgRCnr6goxGrYk
720385,Ranoush Juice Marble Arch,ChIJxfutAvcPdkgRUZrdTuwRJ9w
1014102,Balans Kensington,ChIJEZvKQ_EPdkgRWQwUCnF_7fQ
2178357,Rocca di Papa,ChIJYdKq5mcFdkgRvYBMWM-CMz4
2307482,Jia,ChIJjQcUp0IFdkgRF8ASwUUTlJo
10517649,Honest Burgers South Kensington,ChIJbYz9hUIFdkgRyftQ4XwNqro
187550,Kensington Palace,ChIJBe231SoPdkgRT_3hbsIc3rc
3322305,Piano Kensington,ChIJgwQn4PYPdkgRhWVEcDrvJNc
8855999,Steak and Company Gloucester Road,ChIJz9S9rGAFdkgREtsUhx6ZOLI
1656751,Kitchen W8,ChIJ1-By1fMPdkgRHFSgAdcS41Y
