cuisine,place_id,name,formatted_address,user_ratings_total,rating,geometry.location.lat,geometry.location.lng,price_level,suburb,delivery,dine_in,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,wheelchair_accessible_entrance,curbside_pickup
Contemporary,ChIJq6r217NC1moRLKIcjBXmx5g,Pure South Kitchen,"GR2 River Level Southgate Precinct, 3 Southgate Ave, Southbank VIC 3006, Australia",1139,4.1,-37.8202814,144.9652412,2,Southbank,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
Australian,ChIJ6eEhZa1C1moR4Ls34LGLXvE,The Breslin Bar & Grill,"1 Southbank Blvd, Southbank VIC 3006, Australia",1513,4.2,-37.8208499,144.9629618,2,Southbank,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA
Asian,ChIJfS2hGdpD1moR6PmNDzQdW4M,Old Man Pho Southbank,"T2/1 Southbank Blvd, Southbank VIC 3006, Australia",345,4.5,-37.8210966,144.9630499,NA,Southbank,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Seafood,ChIJs-Q2IlNd1moRCKATMhnSiEc,The Atlantic,"8 Whiteman St, Southbank VIC 3006, Australia",1510,3.9,-37.822549,144.958882,4,Southbank,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,TRUE,FALSE,TRUE,FALSE
Contemporary,ChIJiVdW17NC1moR-szxoi5qpgo,Bluetrain,"3 Southgate Ave, Southbank VIC 3006, Australia",531,4,-37.8201184,144.9662684,2,Southbank,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
Chinese,ChIJwd0Cv1Jd1moRmT612H04gRc,Spice Temple,"8 Whiteman St, Southbank VIC 3006, Australia",617,3.9,-37.8219651,144.9599672,4,Southbank,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA
Italian,ChIJreaFNbJC1moRpXUSN5IQbmk,Tutto Bene,"M28/3 Southgate Ave, Southbank VIC 3006, Australia",392,3.6,-37.8202591,144.9659072,2,Southbank,NA,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
Contemporary,ChIJBTyUPlpD1moRX_z9jQURl7A,Pure South Dining,"MR6 Mid Level Southgate Building, 3 Southgate Ave, Southbank VIC 3006, Australia",100,4.2,-37.820556,144.965833,NA,Southbank,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
International,ChIJLYGSDq1C1moRjaITAwWr2f8,Dee Casa - Restaurant & Bar,"139 City Rd, Southbank VIC 3006, Australia",130,3.7,-37.8233959,144.9633395,2,Southbank,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
Italian,ChIJ0w7Po7JC1moRkfnUvgHePjQ,Criniti's Southbank,"645 Freshwater Pl, Southbank VIC 3006, Australia",2921,3.4,-37.8214199,144.9622424,3,Southbank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Italian,ChIJ2d9nj7JC1moRvdqDm0DSNCQ,Soho Restaurant and Bar,"2/4 Riverside Quay, Southbank VIC 3006, Australia",1904,4,-37.8207812,144.9632448,2,Southbank,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Argentinean,ChIJ4xaW-AJD1moR-4fAxvspuR0,Asado,"6 Riverside Quay, Southbank VIC 3006, Australia",2062,4.4,-37.8208984,144.9640633,3,Southbank,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,FALSE
