id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31578239,Rental unit in Melbourne · ★4.92 · 1 bedroom · 1 bed · 1 bath,169440071,Matt,,Melbourne,-37.81618,144.95735,Entire home/apt,119,1,100,2020-03-18,1.77,1,0,0,
31067324,Rental unit in Southbank · ★4.83 · 3 bedrooms · 9 beds · 2 baths,10190138,Tony,,Melbourne,-37.82335662841797,144.9646453857422,Entire home/apt,696,1,23,2023-06-12,0.42,66,234,3,
31578515,Rental unit in Melbourne · ★4.88 · 1 bedroom · 1 bed · 1 bath,236713070,Grantley,,Melbourne,-37.809113,144.96846,Entire home/apt,148,2,226,2023-08-20,4.02,1,144,38,
31245485,Home in Balwyn North · ★4.69 · 4 bedrooms · 4 beds · 1 bath,9729856,Louise & David,,Boroondara,-37.7939,145.10422,Entire home/apt,130,2,17,2019-06-14,0.31,1,0,0,
31076729,Townhouse in South Melbourne · ★4.93 · 3 bedrooms · 3 beds · 2.5 baths,129029998,Stig,,Port Phillip,-37.83645,144.96536,Entire home/apt,950,3,14,2023-01-22,0.26,4,336,4,
31076871,Condo in Melbourne · ★4.64 · 2 bedrooms · 5 beds · 1 bath,477181521,Sam,,Melbourne,-37.81419,144.95298,Entire home/apt,141,1,100,2023-09-01,1.78,38,119,61,
31078920,Condo in Melbourne · 1 bedroom · 1 bed · 1 bath,225335316,李贵林,,Melbourne,-37.808,144.96582,Entire home/apt,158,3,0,,,5,0,0,
31080904,Condo in Abbotsford · 1 bedroom · 1 bed · 1 bath,225335316,李贵林,,Yarra,-37.81249,145.01451,Entire home/apt,95,3,0,,,5,0,0,
31579497,Rental unit in South Yarra · 1 bedroom · 1 bed · 1 bath,118503444,Andrew,,Stonnington,-37.83536,144.99481,Entire home/apt,95,5,0,,,1,0,0,
31081692,Rental unit in Carlton · ★4.58 · Studio · 2 beds · 1 bath,193314848,Cathy,,Melbourne,-37.80504,144.96797,Entire home/apt,100,2,87,2020-04-18,1.52,2,0,0,
31246110,Rental unit in Northcote · ★4.86 · 1 bedroom · 1 bed · 1 bath,232441113,Jane,,Darebin,-37.78189,144.99931,Entire home/apt,120,2,22,2021-05-25,0.39,1,0,0,
31087648,Rental unit in Docklands · ★4.33 · 1 bedroom · 3 beds · 1 bath,54942127,Yilin,,Melbourne,-37.82115,144.94341,Entire home/apt,180,7,3,2019-04-01,0.05,1,0,0,
31092757,Villa in Hoppers Crossing · 1 bedroom · 2 beds · 1 bath,226955045,Xiao,,Wyndham,-37.86779,144.7086,Private room,30,2,0,,,2,0,0,
31095167,Boutique hotel in Docklands · Studio · 1 bed · 1 shared bath,192188842,Li,,Melbourne,-37.82094,144.94178,Private room,85,1,0,,,3,0,0,
31596892,Townhouse in Croydon · ★4.94 · 1 bedroom · 1 bed · 1 private bath,236860954,Catherine,,Maroondah,-37.79887,145.29177,Private room,79,2,17,2023-07-18,0.34,1,180,6,
31096662,Condo in Windsor · ★4.0 · 1 bedroom · 1 bed · 1 bath,142325689,Domo,,Melbourne,-37.84981,144.98382,Entire home/apt,118,1,8,2020-02-14,0.15,28,0,0,
31102813,Home in Camberwell · ★4.85 · 4 bedrooms · 4 beds · 2 baths,22977714,Dearne,,Boroondara,-37.83327,145.06812,Entire home/apt,165,4,61,2022-09-04,1.11,1,95,1,
31600050,Townhouse in Glen Waverley · ★4.83 · 1 bedroom · 2 beds · 1 shared bath,234465583,Mary,,Monash,-37.89751,145.16696,Private room,45,1,36,2020-02-13,0.64,3,0,0,
31600901,Rental unit in Southbank · ★4.80 · 2 bedrooms · 2 beds · 1 bath,34619398,Eduardo Luis,,Melbourne,-37.82391,144.9618,Entire home/apt,142,2,228,2023-08-27,4.05,9,313,60,
31601097,Rental unit in Southbank · ★4.81 · 3 bedrooms · 6 beds · 3.5 baths,46333372,Nate,,Melbourne,-37.82647,144.95588,Entire home/apt,579,2,32,2020-03-08,0.57,14,0,0,
31603903,Condo in Windsor · ★4.88 · 1 bedroom · 1 bed · 1 bath,54698159,Nathan,,Stonnington,-37.85366,144.99582,Entire home/apt,135,20,26,2023-09-03,1.49,1,332,21,
31260124,Home in Footscray · ★4.73 · 2 bedrooms · 3 beds · 1 bath,233899327,Summer,,Maribyrnong,-37.79325,144.88168,Entire home/apt,171,10,30,2023-08-18,0.54,1,205,8,
31113184,Condo in Windsor · ★4.64 · 1 bedroom · 1 bed · 1 bath,142325689,Domo,,Melbourne,-37.85004,144.98426,Entire home/apt,118,1,14,2019-10-10,0.25,28,0,0,
31113502,Rental unit in Box Hill · ★4.68 · 2 bedrooms · 2 beds · 2 baths,137771001,The Rest,,Whitehorse,-37.82225,145.12492,Entire home/apt,119,2,19,2020-12-20,0.33,5,0,0,
31114625,Rental unit in Parkville · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,108971713,Okeito,,Melbourne,-37.77911,144.9591,Private room,67,1,56,2021-07-11,0.99,1,0,0,
31263229,Rental unit in Saint Kilda · ★4.77 · 1 bedroom · 1 bed · 1 bath,14136350,Scott,,Port Phillip,-37.86166,144.97506,Entire home/apt,118,3,122,2023-08-29,2.19,1,81,27,
31605402,Home in Hoppers Crossing · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,15802933,Ashley,,Wyndham,-37.86917,144.70526,Private room,50,2,55,2023-08-21,0.98,2,24,5,
31605605,Rental unit in Southbank · 1 bedroom · 6 beds · 2 baths,236918088,Wayne,,Port Phillip,-37.82874,144.95707,Entire home/apt,450,8,0,,,1,0,0,
31605741,Home in Hoppers Crossing · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,15802933,Ashley,,Wyndham,-37.86734,144.70394,Private room,50,2,16,2023-06-14,0.32,2,80,2,
31606402,Rental unit in Melbourne · ★4.77 · 1 bedroom · 1 bed · 1.5 baths,72962279,Lucky,,Port Phillip,-37.84663,144.97719,Entire home/apt,168,2,48,2023-02-25,0.96,1,0,10,
