address,latitude,created date,longitude,organisation,classification,name,category,title,type,website,tree common name,tree scientific name,planted date,theme,sub theme,info,female,male,wheelchair,operator,baby_facil
,-37.7993071664096,,144.956389746765,,,Royal Melbourne Hospital,landmarks,,,,,,,Health Services,Public Hospital,,,,,,
,-37.8133854259085,,144.954027907736,,,Koorie Heritage Trust Inc,landmarks,,,,,,,Place Of Assembly,Art Gallery/Museum,,,,,,
,-37.8123961677596,,144.955823833257,,,Commonwealth Law Courts,landmarks,,,,,,,Community Use,Public Buildings,,,,,,
,-37.8080795360545,,144.964452974798,,,RMIT University,landmarks,,,,,,,Education Centre,Tertiary (University),,,,,,
,-37.7983318676737,,144.971514146104,,,Macarthur Square,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.8071585350561,,144.963189789721,,,City Baths,landmarks,,,,,,,Leisure/Recreation,Major Sports & Recreation Facility,,,,,,
,-37.8314918578874,,144.908824792698,,,Westgate Park,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.8073823625058,,144.942429848025,,,North Melbourne Railway Station,landmarks,,,,,,,Transport,Railway Station,,,,,,
,-37.8144604899837,,144.979471339826,,,Cooks' Cottage,landmarks,,,,,,,Place Of Assembly,Art Gallery/Museum,,,,,,
,-37.80460262432,,144.971521914952,,,Royal Exhibition Building,landmarks,,,,,,,Place Of Assembly,Art Gallery/Museum,,,,,,
,-37.8125077646598,,144.958298873269,,,Melbourne Childrens Court,landmarks,,,,,,,Community Use,Public Buildings,,,,,,
,-37.8161760471742,,144.947496254547,,,Etihad Stadium,landmarks,,,,,,,Leisure/Recreation,Major Sports & Recreation Facility,,,,,,
,-37.8216187583314,,144.964622218598,,,Eureka Skydeck 88,landmarks,,,,,,,Leisure/Recreation,Observation Tower/Wheel,,,,,,
,-37.8132011619962,,144.957734246387,,,County Court Melbourne,landmarks,,,,,,,Community Use,Public Buildings,,,,,,
,-37.8114766732026,,144.977400949063,,,Peter Maccallum Cancer Institute,landmarks,,,,,,,Health Services,Public Hospital,,,,,,
,-37.8201763042794,,144.96298113724,,,Sandridge Rail Bridge,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.8027919689732,,144.962760852233,,,Lincoln Square,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.8109710654051,,144.98370007659,,,Epworth Freemasons Hospital,landmarks,,,,,,,Health Services,Private Hospital,,,,,,
,-37.8132921649416,,144.98350690799,,,Bishopscourt,landmarks,,,,,,,Residential Accommodation,Dwelling (House),,,,,,
,-37.8107686127655,,144.96923385414,,,The Museum Of Australian Chinese History,landmarks,,,,,,,Place Of Assembly,Art Gallery/Museum,,,,,,
,-37.8148855756416,,144.967291289941,,,The Melbourne Athenaeum Library,landmarks,,,,,,,Place Of Assembly,Library,,,,,,
,-37.8052307297468,,144.966986444597,,,Romanian Orthodox,landmarks,,,,,,,Place of Worship,Church,,,,,,
,-37.8104478768313,,144.959873260087,,,Welsh Presbyterian Church,landmarks,,,,,,,Place of Worship,Church,,,,,,
,-37.8097086714637,,144.975259178609,,,St Peter's Eastern Hill,landmarks,,,,,,,Place of Worship,Church,,,,,,
,-37.8109757054396,,144.975729473552,,,Lutheran Trinity Church,landmarks,,,,,,,Place of Worship,Church,,,,,,
,-37.8209399677168,,144.967121099857,,,St Johns Lutheran Church,landmarks,,,,,,,Place of Worship,Church,,,,,,
,-37.7940512679297,,144.945399480629,,,St Michaels,landmarks,,,,,,,Place of Worship,Church,,,,,,
,-37.7963084580345,,144.944313454028,,,Ukranian Catholic Cathedral,landmarks,,,,,,,Place of Worship,Church,,,,,,
,-37.8147011904647,,144.968072486031,,,Collins Street Baptist Church,landmarks,,,,,,,Place of Worship,Church,,,,,,
,-37.8353076902578,,144.976809080472,,,St Thomas Aquinas Church,landmarks,,,,,,,Place of Worship,Church,,,,,,
,-37.8386270533576,,144.986009385387,,,The Parish of Christ Church South Yarra,landmarks,,,,,,,Place of Worship,Church,,,,,,
,-37.8164849024046,,144.966486801188,,,Victoria Police,landmarks,,,,,,,Community Use,Police Station,,,,,,
,-37.8139525061193,,144.964425882562,,,Melbourne Visitor Booth,landmarks,,,,,,,Community Use,Visitor Centre,,,,,,
,-37.7857860016289,,144.947580972027,,,State Netball Hockey Centre,landmarks,,,,,,,Leisure/Recreation,Major Sports & Recreation Facility,,,,,,
,-37.800410711209,,144.960398319302,,,University Square,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.8116929882498,,144.987275671763,,,Powlett Reserve,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.7891890023616,,144.965785979892,,,Melbourne General Cemetery,landmarks,,,,,,,Community Use,Cemetery,,,,,,
,-37.8075002018073,,144.957158515056,,,Queen Victoria Market,landmarks,,,,,,,Retail,Retail,,,,,,
,-37.7959079757171,,144.970147317976,,,Carlton Primary School,landmarks,,,,,,,Education Centre,Primary Schools,,,,,,
,-37.8485201804496,,144.982227770988,,,Wesley College,landmarks,,,,,,,Education Centre,School - Primary and Secondary Education,,,,,,
,-37.8212806349773,,144.968469643744,,,State Theatre,landmarks,,,,,,,Place Of Assembly,Theatre Live,,,,,,
,-37.8241137662047,,144.96933253996,,,University of Melbourne (VCA and Music),landmarks,,,,,,,Education Centre,Tertiary (University),,,,,,
,-37.8352429531289,,144.98114217385,,,St Martins Youth Arts Centre,landmarks,,,,,,,Place Of Assembly,Theatre Live,,,,,,
,-37.8181633057171,,144.952944748845,,,Southern Cross Railway Station,landmarks,,,,,,,Transport,Railway Station,,,,,,
,-37.8107257091302,,144.9723265962,,,Princess Theatre,landmarks,,,,,,,Place Of Assembly,Theatre Live,,,,,,
,-37.7973136216903,,144.956034449946,,,University High School,landmarks,,,,,,,Education Centre,Secondary Schools,,,,,,
,-37.8099852201226,,144.964330322397,,,State Library Victoria,landmarks,,,,,,,Community Use,Public Buildings,,,,,,
,-37.8160014744179,,144.967916735261,,,Regent Theatre,landmarks,,,,,,,Place Of Assembly,Theatre Live,,,,,,
,-37.8132371662585,,144.974423610255,,,Old Treasury Building,landmarks,,,,,,,Office,Office,,,,,,
,-37.8141494182814,,144.957894024264,,,Supreme Court,landmarks,,,,,,,Community Use,Public Buildings,,,,,,
,-37.8216740022008,,144.988156318781,,,Richmond Football Club,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.7844449253712,,144.951371205938,,,Melbourne Zoo,landmarks,,,,,,,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",,,,,,
,-37.823813323734,,144.966551401578,,,Australian Broadcasting Corporation (ABC),landmarks,,,,,,,Office,Office,,,,,,
,-37.8249040484653,,144.952288281644,,,Melbourne Convention Centre,landmarks,,,,,,,Place Of Assembly,Function/Conference/Exhibition Centre,,,,,,
,-37.8292844929826,,144.913415802464,,,Melbourne International Shooting Club,landmarks,,,,,,,Leisure/Recreation,Private Sports Club/Facility,,,,,,
,-37.8271768001126,,144.966936821789,,,Malthouse Theatre,landmarks,,,,,,,Place Of Assembly,Theatre Live,,,,,,
,-37.8235761092516,,144.957312880653,,,Crown Entertainment Complex,landmarks,,,,,,,Purpose Built,Casino,,,,,,
,-37.8188662730911,,144.9839700954,,,Thoroughbred Racing Gallery,landmarks,,,,,,,Place Of Assembly,Art Gallery/Museum,,,,,,
,-37.8209956785618,,144.946781702342,,,Docklands Park,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.815056661803,,144.939136876334,,,Waterfront City,landmarks,,,,,,,Mixed Use,Retail/Office,,,,,,
,-37.8233522700646,,144.942102276731,,,Point Park,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.7925235045455,,144.927108735461,,,Kensington Primary School,landmarks,,,,,,,Education Centre,Primary Schools,,,,,,
,-37.8213744301481,,144.948496661709,,,Fox Classic Car Collection,landmarks,,,,,,,Place Of Assembly,Art Gallery/Museum,,,,,,
,-37.8211371302179,,144.951378883631,,,Railway Good Shed No 2,landmarks,,,,,,,Vacant Land,Current Construction Site - Commercial,,,,,,
,-37.8034315561903,,144.970639929886,,,IMAX Melbourne,landmarks,,,,,,,Place Of Assembly,Cinema,,,,,,
,-37.823930384816,,144.968297429894,,,Melbourne Theatre Company,landmarks,,,,,,,Community Use,Public Buildings,,,,,,
,-37.8206051404251,,144.971796067365,,,Alexandra Gardens,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.8116061787171,,144.973017263156,,,Parliament Railway Station,landmarks,,,,,,,Transport,Railway Station,,,,,,
,-37.8238992659834,,144.989400751664,,,Richmond Railway Station (Richmond) - Train stop,landmarks,,,,,,,Transport,Railway Station,,,,,,
,-37.8165651811668,,144.983641003377,,,Jolimont-MCG Railway Station (East Melbourne) - Train stop,landmarks,,,,,,,Transport,Railway Station,,,,,,
,-37.7988345257153,,144.941452061463,,,North Melbourne Recreation Reserve,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.7870161727156,,144.961115214367,,,Princes Park,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.8302080020387,,144.973441913623,,,Shrine of Remembrance,landmarks,,,,,,,Community Use,Public Buildings,,,,,,
,-37.8246924089335,,144.964979061564,,,Victorian Insitute of Forensic Medicine,landmarks,,,,,,,Office,Office,,,,,,
,-37.8248231859563,,144.965169035668,,,Donor Tissue Bank of Victoria,landmarks,,,,,,,Office,Office,,,,,,
,-37.8121572789173,,144.973742010011,,,Parliament Railway Station,landmarks,,,,,,,Transport,Railway Station,,,,,,
,-37.7834651216244,,144.914902626775,,,Showgrounds Railway Station (Flemington),landmarks,,,,,,,Transport,Railway Station,,,,,,
,-37.7872726241965,,144.929059958114,,,Newmarket Railway Station,landmarks,,,,,,,Transport,Railway Station,,,,,,
,-37.8462631206461,,144.981786260765,,,Alfred Hospital,landmarks,,,,,,,Health Services,Public Hospital,,,,,,
,-37.7976589943217,,144.968750113566,,,Carlton Courthouse Theatre,landmarks,,,,,,,Place Of Assembly,Theatre Live,,,,,,
,-37.7823097850883,,144.910822117306,,,Melbourne Showgrounds,landmarks,,,,,,,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",,,,,,
,-37.8102053945163,,144.97013311862,,,Comedy Theatre,landmarks,,,,,,,Place Of Assembly,Theatre Live,,,,,,
,-37.7991304956733,,144.967669503083,,,La Mama Theatre,landmarks,,,,,,,Place Of Assembly,Theatre Live,,,,,,
,-37.8262313085528,,144.923475698195,,,Kraft,landmarks,,,,,,,Industrial,Industrial (Manufacturing),,,,,,
,-37.816485409696,,144.969386556998,,,Forum Theatre,landmarks,,,,,,,Place Of Assembly,Theatre Live,,,,,,
,-37.80687252157,,144.923287444259,,,"Melbourne Wholesale Fruit, Vegetable & Flower Market",landmarks,,,,,,,Mixed Use,Retail/Office/Carpark,,,,,,
,-37.8105371797142,,144.962749729496,,,Melbourne Central,landmarks,,,,,,,Mixed Use,Retail/Office/Carpark,,,,,,
,-37.8100167030855,,144.963789344893,,,Melbourne Central Railway Station,landmarks,,,,,,,Transport,Railway Station,,,,,,
,-37.8031480577285,,144.965761295089,,,Argyle Square,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.8025164192523,,144.965863092947,,,Piazza Italia,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.8002735025371,,144.973059252203,,,Murchinson Square,landmarks,,,,,,,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),,,,,,
,-37.8209627824685,,144.958425696055,,,Melbourne Aquarium,landmarks,,,,,,,Purpose Built,Aquarium,,,,,,
,-37.8242456858593,,144.979720306309,,,Westpac Centre,landmarks,,,,,,,Leisure/Recreation,Major Sports & Recreation Facility,,,,,,
,-37.7995065904416,,144.964526842767,,,Royal Dental Hospital,landmarks,,,,,,,Health Services,Public Hospital,,,,,,
,-37.8232052384507,,144.947291011905,,,Webb Bridge,landmarks,,,,,,,Transport,Bridge,,,,,,
,-37.8315364518803,,144.985089428348,,,Melbourne Girls Grammar School,landmarks,,,,,,,Education Centre,School - Primary and Secondary Education,,,,,,
,-37.8135911985281,,144.963855087868,,,Myer,landmarks,,,,,,,Retail,Department Store,,,,,,
,-37.8133127260638,,144.964373486798,,,David Jones,landmarks,,,,,,,Retail,Department Store,,,,,,
,-37.811896809802,,144.984435746587,,,Mercy Private Hospital,landmarks,,,,,,,Health Services,Medical Services,,,,,,
,-37.8161580666029,,144.961673719242,,,ANZ 'Gothic' Bank,landmarks,,,,,,,Mixed Use,Retail/Office/Carpark,,,,,,
,-37.82210994675337,,144.93666205920204,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Wharfs Landing Park,,,,,
,-37.81043106640399,,144.95558395492208,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Flagstaff Gardens,,,,,
,-37.80089398503696,,144.96074870882546,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,University Square,,,,,
,-37.79841970759794,,144.92421993826414,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,JJ Holland Park,,,,,
,-37.7914165845557,,144.96125460876374,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,Princes Park,,,,,
,-37.79028778877907,,144.94509842701018,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,Royal Park,,,,,
,-37.821103585220605,,144.97249534473832,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,Alexandra Gardens,,,,,
,-37.82435043745128,,144.9771113193355,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.78462350014393,,144.96015661193692,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Princes Park,,,,,
,-37.796396827991096,,144.97292609129818,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,Canning & Palmerston St Reserve,,,,,
,-37.82055140792857,,144.9731742469266,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Alexandra Gardens,,,,,
,-37.796300658626926,,144.94502857293458,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,Pleasance Gardens,,,,,
,-37.80037327256486,,144.97278944216202,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Murchison Square,,,,,
,-37.82089072956917,,144.94692985249003,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Docklands Park,,,,,
,-37.80211398428,,144.97283100368065,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Carlton Gardens North,,,,,
,-37.81536210793982,,144.97970486535712,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.79431438564634,,144.9302959180467,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.828673986591355,,144.9672264971803,,,,drinking_fountains,,Treated Timber Drinking Fountain / Miles & Dodds Street Reserve,,,,,,,,,,,,
,-37.79337819173264,,144.94004830856508,,,,drinking_fountains,,Urban design stainless steel,,,,,,,,,,,,
,-37.799615873678334,,144.96425054146184,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.814969228345504,,144.96035042039261,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.81932147571993,,144.94249797871333,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.80750643106099,,144.9685049927858,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.780205363639304,,144.95293574839906,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Royal Park,,,,,
,-37.814695182979264,,144.93847737611912,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.82337609495653,,144.9798517032086,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.818939263478214,,144.94348692912953,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.77845421707277,,144.95603509792244,,,,drinking_fountains,,Concrete Drinking Fountain,,,,,,,,,,,,
,-37.81386555249958,,144.96475087670643,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.78297956185507,,144.9418702885437,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.79542994425931,,144.95202812794676,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Royal Park,,,,,
,-37.79275280598382,,144.96844335889637,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.811050947085775,,144.96714245008525,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.83081555124981,,144.97427512305256,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Shrine of Remembrance Reserve,,,,,
,-37.82051269611414,,144.94396083541395,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.819668916851825,,144.9417577515994,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Old Docklands Type,,,,,,,,,,,,
,-37.81515985140142,,144.93712549711364,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.82114510296565,,144.94298366417019,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Old Docklands Type,,,,,,,,,,,,
,-37.8175239427856,,144.96013037555608,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.80225790808832,,144.96613628041044,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Argyle Square,,,,,
,-37.81600551227767,,144.9651330881475,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.79924850919621,,144.9504177251165,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,Errol Street Reserve,,,,,
,-37.82123671455052,,144.97077057669242,,,,drinking_fountains,,Historic or Heritage Drinking Fountains / Queen Victoria Gardens,,,,,,,,,,,,
,-37.79922710932603,,144.94028139112405,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,North Melbourne Recreation Reserve,,,,,
,-37.80056485451508,,144.9668454274885,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.81033905955521,,144.9724239787079,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.805018324001324,,144.94911036775298,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.79009686226306,,144.9257559567742,,,,drinking_fountains,,Historic or Heritage Drinking Fountains / Liddy Street Reserve (KENSINGTON),,,,,,,,,,,,
,-37.7981300933256,,144.9217175971122,,,,drinking_fountains,,Treated Timber Drinking Fountain / JJ Holland Park,,,,,,,,,,,,
,-37.81261776692698,,144.9683505786709,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.80626983275522,,144.95806339729006,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.81812625933699,,144.9458429589375,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.81243580767888,,144.97368439844223,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.816927072109706,,144.9837045105586,,,,drinking_fountains,,Old Style Steel Drinking Fountain,,,,,,,,,,,,
,-37.80725891583743,,144.94696422855037,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.79735380762625,,144.95284368062156,,,,drinking_fountains,,Drinking Fountain / Type 1,,,,,,,,,,,,
,-37.79583501177402,,144.96807205336754,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,Neill Street Reserve,,,,,
,-37.813703464993914,,144.96524821218875,,,,drinking_fountains,,Drinking Fountain / Type 1,,,,,,,,,,,,
,-37.816008130348806,,144.94552203541383,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.811115148970096,,144.96662794395766,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.806116903955164,,144.9571333967204,,,,drinking_fountains,,Drinking Fountain / Type 1,,,,,,,,,,,,
,-37.8452141594852,,144.98256140204748,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,Fawkner Park,,,,,
,-37.81047950700537,,144.96434622822136,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.795526766864704,,144.93075415955866,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bellair Street Reserve,,,,,
,-37.800491981075275,,144.96374391208968,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.82024273028081,,144.95962780503942,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.82022017744959,,144.94480746086566,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Northbank Type,,,,,,,,,,,,
,-37.81232314728076,,144.98893301349375,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.795594738274296,,144.9691367333386,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Neill Street Reserve,,,,,
,-37.79622591094481,,144.92675323715673,,,,drinking_fountains,,Historic or Heritage Drinking Fountains / Warun Biik Park,,,,,,,,,,,,
,-37.79125129687361,,144.93147576642454,,,,drinking_fountains,,Drinking Fountain / Type 1,,,,,,,,,,,,
,-37.79166434549512,,144.95175691050537,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,Royal Park,,,,,
,-37.828809493040296,,144.97413127261856,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Kings Domain South,,,,,
,-37.82099191418598,,144.9617423793966,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.813705889407565,,144.9749027278744,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.83249800027375,,144.97285892460977,,,,drinking_fountains,,Historic or Heritage Drinking Fountains / Shrine Gardens,,,,,,,,,,,,
,-37.80633683559588,,144.9590744803669,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.786067144628724,,144.96306993513306,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.81437201868546,,144.96613327636365,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.81840304050843,,144.97885934809221,,,,drinking_fountains,,Drinking Fountain / Monument Style Type 3,,,,,,,,,,,,
,-37.81649090115357,,144.98515748991457,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.79407412774661,,144.93082898880024,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Eastwood and Rankins Park,,,,,
,-37.807863918393416,,144.96107434937468,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.81607983975034,,144.93862697161046,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.81328717472797,,144.9892411598799,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.80530265416531,,144.96955831322754,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Bottle Refill Tap,,,,,
,-37.815447719564624,,144.96705501075527,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.839918521598555,,144.9812959600913,,,,drinking_fountains,,Leaf Type / Dog Bowl,,,,,,,Fawkner Park,,,,,
,-37.81367564418339,,144.98268520584864,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Fitzroy Gardens,,,,,
,-37.82087279535316,,144.94185586107258,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Old Docklands Type,,,,,,,,,,,,
,-37.815558943545426,,144.93989772357784,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,,,,,,
,-37.78144167402145,,144.95595472988092,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Royal Park,,,,,
,-37.78559620252012,,144.96932282550418,,,,drinking_fountains,,Drinking Fountain / Monument Style Type 2,,,,,,,Hardy Reserve,,,,,
,-37.82424533734149,,144.97698410547824,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,Kings Domain,,,,,
,-37.81010993947886,,144.95363625566395,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,Flagstaff Gardens,,,,,
,-37.8020146095429,,144.9605723948678,,,,drinking_fountains,,Historic or Heritage fountains / University Square,,,,,,,,,,,,
,-37.7881098191695,,144.95949172029708,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Princes Park,,,,,
,-37.77732383776788,,144.9531895231545,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Royal Park,,,,,
,-37.82168006484173,,144.9700370336942,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Queen Victoria Gardens,,,,,
,-37.82605853691661,,144.9615312833258,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Boyd Community Hub,,,,,
,-37.827087271632976,,144.98504460154422,,,,drinking_fountains,,Historic or Heritage Drinking Fountains / Alexandra Park,,,,,,,,,,,,
,-37.819734518071364,,144.9475652363716,,,,drinking_fountains,,Stainless Steel Drinking Fountain / Leaf Type,,,,,,,Hub@Docklands,,,,,
,-37.82017775836843,,144.9480020326732,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Hub@Docklands,,,,,
,-37.78413055442304,,144.9561695135437,,,,drinking_fountains,,Leaf Type / Dog Bowl ,,,,,,,Royal Park,,,,,
,-37.78866797179563,,144.96246173875772,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Princes Park,,,,,
,-37.79256416270773,,144.922630804458,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Peppercorn Park,,,,,
,-37.79148137934659,,144.95640337310826,,,,drinking_fountains,,Leaf Type / With Bottle Refill Tap,,,,,,,Royal Park,,,,,
