latitude,longitude,type,info,category,female,male,wheelchair,operator,baby_facil,address,name,geometry,location_id
-37.82099191418598,144.9617423793966,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.9617423793966 -37.82099191418598),14
-37.813705889407565,144.9749027278744,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.9749027278744 -37.813705889407565),75
-37.83249800027375,144.97285892460977,Historic or Heritage Drinking Fountains / Shrine Gardens,,drinking_fountains,,,,,,,,POINT (144.97285892460977 -37.83249800027375),128
-37.80633683559588,144.9590744803669,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.9590744803669 -37.80633683559588),48
-37.786067144628724,144.96306993513306,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.96306993513306 -37.786067144628724),44
-37.81437201868546,144.96613327636365,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.96613327636365 -37.81437201868546),45
-37.81840304050843,144.97885934809221,Drinking Fountain / Monument Style Type 3,,drinking_fountains,,,,,,,,POINT (144.97885934809221 -37.81840304050843),96
-37.81649090115357,144.98515748991457,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.98515748991457 -37.81649090115357),93
-37.79407412774661,144.93082898880024,Stainless Steel Drinking Fountain / Leaf Type,Eastwood and Rankins Park,drinking_fountains,,,,,,,,POINT (144.93082898880024 -37.79407412774661),76
-37.807863918393416,144.96107434937468,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.96107434937468 -37.807863918393416),26
-37.81607983975034,144.93862697161046,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.93862697161046 -37.81607983975034),11
-37.81328717472797,144.9892411598799,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.9892411598799 -37.81328717472797),93
-37.80530265416531,144.96955831322754,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.96955831322754 -37.80530265416531),37
