tree_common_name,tree_scientific_name,date_of_tree_planted,latitude,longitude,title,category
Lilly Pilly,Syzygium smithii,2000-01-02,-37.83084582148334,144.971992343412,h.m.a.s. perth,plaques
Bhutan Cypress,Cupressus torulosa,1998-08-09,-37.831295745811026,144.97353435938422,467 & 463 raaf lancaster squadrons,plaques
Hedge Maple,Acer campestre,2010-08-30,-37.83226442686982,144.97265023054786,461 squadron raaf coastal command the anzac squadron,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83118825023703,144.9731425816418,no. 11 repair & servicing unit,plaques
River Red Gum,Eucalyptus camaldulensis,1998-07-09,-37.831473685884944,144.97217114744524,royal australian corps of transport,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82830743544784,144.9725285827813,22nd battalion,plaques
Pyramid Tree,Lagunaria patersonia,2000-01-02,-37.82945767669513,144.97184208754828,1st ordnance field park,plaques
Atlas Cedar,Cedrus atlantica,2017-11-03,-37.83032609027336,144.9721426909941,normandy veterans association,plaques
Daimyo Oak,Quercus dentata,1998-04-09,-37.83102768154598,144.9745995026191,naval association of australia,plaques
Oak,Quercus unknown,1998-04-09,-37.83160486641263,144.9743994236861,united states navy desron 4,plaques
Golden Poplar,Populus x canadensis,1998-07-09,-37.83124298440094,144.97247458302422,australian army training team vietnam,plaques
tba,Ficus carica,2012-10-04,-37.82850285713582,144.9720342269703,siege of tobruk,plaques
English Elm,Ulmus procera,1998-07-09,-37.8291370529477,144.9723765764324,15th field ambulance,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.8288988696379,144.97244967658702,135 australian general transport company,plaques
Lilly-Pilly,Syzygium floribundum,2000-01-02,-37.83113683924828,144.97493101722557,h.m.a.s. tingira,plaques
English Elm,Ulmus procera,1998-07-09,-37.82782959457114,144.97247406106885,14th field company engineers,plaques
Red Maple / Swamp Maple,Acer rubrum,2010-10-20,-37.827959648206715,144.97285168257503,canada,plaques
Flame Tree,Brachychiton acerifolius,2010-08-30,-37.828951219087834,144.9737001944386,8th field company engineers,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.828772431662756,144.9728786341015,14th australian general hospital.,plaques
