latitude,longitude,type,info,category
-37.82186723614085,144.9572554993872,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.81437281760768,144.9443629296941,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.830658429920206,144.97605393970306,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.82469655350015,144.9721174141578,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.82317712092532,144.94186784766944,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.8212095645359,144.9694728091101,Stainless Steel Drinking Fountain / Leaf Type,Queen Victoria Gardens,drinking_fountains
-37.79786751874929,144.92606408339236,Leaf Type / With Bottle Refill Tap,JJ Holland Park,drinking_fountains
-37.79365820618429,144.92352614663906,Leaf Type / Dog Bowl ,Bayswater Road Park,drinking_fountains
-37.79639356481317,144.9464489931069,Leaf Type / With Bottle Refill Tap,Pleasance Gardens,drinking_fountains
-37.77874396844592,144.9527310464918,Leaf Type / With Bottle Refill Tap,Royal Park,drinking_fountains
-37.81961616571647,144.94608043349226,Leaf Type / With Bottle Refill Tap,Docklands Park,drinking_fountains
-37.815185695578855,144.95257756009232,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.824688315009205,144.94695310036423,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.81337112781817,144.94357125504956,Stainless Steel Drinking Fountain / Old Docklands Type,,drinking_fountains
-37.809593623030885,144.96424038761432,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains
-37.7836624497961,144.95999863520058,unspecified type / Princes Park,,drinking_fountains
-37.810693329155406,144.983071937749,Leaf Type / With Bottle Refill Tap,Fitzroy Gardens,drinking_fountains
-37.810438177722986,144.96409803572945,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains
-37.83028525455125,144.97264952949166,Leaf Type / With Bottle Refill Tap,Shrine of Remembrance Reserve,drinking_fountains
-37.819571118805214,144.97182464875007,unspecified type / Alexandra Park,,drinking_fountains
