address,latitude,created_date,longitude,organisation,classification,name,category,title,type,website,tree_common_name,tree_scientific_name,date_of_tree_planted,theme,sub_theme,geometry,location_id
"238 Victoria Street, Melbourne, 3000",-37.80601960940114,,144.95855233201263,,,The Last Chance Rock & Roll Bar,music_venues,,Venue,https://www.facebook.com/thelastchancerockandrollbar/,,,,,,POINT (144.95855233201263 -37.80601960940114),48
"110 William Street, Melbourne, 3000",-37.816671478507224,,144.95884607575877,,,The Australian Club,music_venues,,Venue,https://theaustralianclub.com.au/,,,,,,POINT (144.95884607575877 -37.816671478507224),36
"12 Bourke Street, Melbourne, 3000",-37.8113496150961,,144.97256750232202,,,Angel Music Bar,music_venues,,Bar,,,,,,,POINT (144.97256750232202 -37.8113496150961),40
"Level 1, 188 Collins Street, Melbourne, 3000",-37.81509905764948,,144.96746914835032,,,The Athenaeum,music_venues,,,,,,,,,POINT (144.96746914835032 -37.81509905764948),65
"149 Canning Street, Carlton, 3053",-37.795035125757934,,144.97317627114788,,,San Marco Social Club,music_venues,,Community hall,https://www.instagram.com/explore/locations/410139584/san-marco-in-lamis-social-club-melbourne/,,,,,,POINT (144.97317627114788 -37.795035125757934),50
"240 Exhibition Street, Melbourne, 3000",-37.81021736084806,,144.96989592744947,,,The Comedy Theatre,music_venues,,Theatre,https://marrinergroup.com.au/venues/comedy-theatre,,,,,,POINT (144.96989592744947 -37.81021736084806),20
"Unit 1, LwrGround, 131 Queen Street, Melbourne, 3000",-37.815538920511045,,144.96075342315893,,,Turf Bar,music_venues,,Bar,http://turfbar.com.au/,,,,,,POINT (144.96075342315893 -37.815538920511045),36
"21-25 Hardware Lane, Melbourne, 3000",-37.81406901492111,,144.96139208309128,,,Campari House,music_venues,,Bar,https://www.camparihouse.com.au/,,,,,,POINT (144.96139208309128 -37.81406901492111),52
"230 Grattan Street, Parkville, 3010",-37.799910206479105,,144.9604734702218,,,University of Melbourne,music_venues,,Performance space,https://umsu.unimelb.edu.au/,,,,,,POINT (144.9604734702218 -37.799910206479105),64
"Basement, 105 Queen Street, Melbourne, 3000",-37.81607553369085,,144.96100472386703,,,Chaise Lounge,music_venues,,Nightclub,http://www.chaiselounge.com.au/,,,,,,POINT (144.96100472386703 -37.81607553369085),36
"4A Centre Place, Melbourne, 3000",-37.81675634145909,,144.96562102792308,,,Lustre Bar,music_venues,,Bar,http://www.lustrebar.com.au/,,,,,,POINT (144.96562102792308 -37.81675634145909),68
"Ground, 54 Hardware Lane, Melbourne, 3000",-37.813473669206125,,144.96119469998956,,,Max Bar and Restaurant,music_venues,,Bar,http://maxonhardware.com.au/,,,,,,POINT (144.96119469998956 -37.813473669206125),56
"Level 15, 123 Queen Street, Melbourne, 3000",-37.8156945346344,,144.960819979804,,,Blue Diamond,music_venues,,,,,,,,,POINT (144.960819979804 -37.8156945346344),36
"Pan Pacific Melbourne, 2 Convention Centre Place, South Wharf, 3006",-37.82511036230947,,144.9509891753036,,,Pan Pacific Melbourne,music_venues,,Accommodation,https://www.panpacific.com/en/hotels-resorts/australia/melbourne.html,,,,,,POINT (144.9509891753036 -37.82511036230947),8
"8 Whiteman Street, Southbank, 3006",-37.82242997287491,,144.96001590680228,,,Mercury Lounge,music_venues,,Nightclub,http://www.citybars.com.au/Melbourne_bars/Mercury_Lounge/Bar/25607,,,,,,POINT (144.96001590680228 -37.82242997287491),80
"Casino, 8 Whiteman Street, Southbank, 3006",-37.82371881012607,,144.95746455234837,,,Velvet Bar,music_venues,,Bar,https://www.crownmelbourne.com.au/bars-nightclubs/bars/velvet-bar,,,,,,POINT (144.95746455234837 -37.82371881012607),25
"Pt Gnd ,Pt Mezz & Lvl 1, 253-265 Flinders Lane, Melbourne, 3000",-37.816868507007,,144.96581223646334,,,City Library,music_venues,,Library,http://www.melbourne.vic.gov.au/community/libraries/locations/Pages/locations.aspx,,,,,,POINT (144.96581223646334 -37.816868507007),89
"Ground, 16-20 Corrs Lane, Melbourne, 3000",-37.81115429522088,,144.96821759637908,,,Euro House,music_venues,,Nightclub,http://www.eurohouse.com.au/,,,,,,POINT (144.96821759637908 -37.81115429522088),20
"41 Bourke Street, Melbourne, 3000",-37.81180924479099,,144.9719804643413,,,Spleen Central,music_venues,,Bar,https://whatson.melbourne.vic.gov.au/DiningandNightlife/BarsandPubs/AllBars/Pages/1804.aspx,,,,,,POINT (144.9719804643413 -37.81180924479099),71
"Unit 8-17, Level 3-12, 35 Elizabeth Street, Melbourne, 3000",-37.81739448122377,,144.964498854058,,,Flinders Station Hotel Backpackers,music_venues,,Hotel,https://oconnells.com.au/,,,,,,POINT (144.964498854058 -37.81739448122377),84
"33 Errol Street, North Melbourne, 3051",-37.8042244812213,,144.94924245595533,,,Town Hall Hotel,music_venues,,Hotel,http://www.townhallhotelnorthmelbourne.com.au/,,,,,,POINT (144.94924245595533 -37.8042244812213),87
"Shop 9, 800 Bourke Street, Docklands, 3008",-37.81926761043375,,144.94526954775787,,,Watermark Docklands,music_venues,,Bar,http://www.watermarkdocklands.com.au/,,,,,,POINT (144.94526954775787 -37.81926761043375),10
"2 Swanston Street, Melbourne, 3000",-37.81839877968878,,144.96896594005398,,,Federation Square,music_venues,,Performance space,http://fedsquare.com/venue-hire,,,,,,POINT (144.96896594005398 -37.81839877968878),119
"1-23 City Road, Southbank, 3006",-37.82122194809231,,144.9675570806361,,,Testing Grounds,music_venues,,Bar,http://www.testing-grounds.com.au/,,,,,,POINT (144.9675570806361 -37.82122194809231),28
